split,batch,heads,seqlen,head_dim,causal,precision,measured_runtime_ms,measured_runtime_std_ms,status,error,times_ms
cal,2,16,1024,64,True,fp16,0.023903999477624893,0.0015339982927083402,ok,,"[0.02038400061428547, 0.022048000246286392, 0.02223999984562397, 0.022304000332951546, 0.022655999287962914, 0.023903999477624893, 0.02409599907696247, 0.024320000782608986, 0.024383999407291412, 0.024512000381946564]"
cal,2,16,8192,64,True,fp8,0.3648959994316101,0.0008604939266157376,ok,,"[0.36368000507354736, 0.3638719916343689, 0.3644160032272339, 0.36444801092147827, 0.3646720051765442, 0.3648959994316101, 0.3651520013809204, 0.36579200625419617, 0.3662079870700836, 0.366239994764328]"
cal,2,16,4096,64,True,fp16,0.11609599739313126,0.0010881869962179316,ok,,"[0.11443199962377548, 0.11449600011110306, 0.11472000181674957, 0.11488000303506851, 0.11609599739313126, 0.11609599739313126, 0.11638399958610535, 0.11686400324106216, 0.11695999652147293, 0.11740799993276596]"
cal,2,16,4096,64,True,fp8,0.11027199774980545,0.001197969556137052,ok,,"[0.10787200182676315, 0.10806400328874588, 0.1085439994931221, 0.10982400178909302, 0.11001600325107574, 0.11027199774980545, 0.11030399799346924, 0.1103999987244606, 0.11046399921178818, 0.11091200262308121]"
cal,2,16,1024,128,False,fp16,0.029023999348282814,0.0014578805595141793,ok,,"[0.028192000463604927, 0.028255999088287354, 0.02864000014960766, 0.028672000393271446, 0.02879999950528145, 0.029023999348282814, 0.03030399978160858, 0.030527999624609947, 0.031136000528931618, 0.0323840007185936]"
cal,2,16,4096,64,False,fp8,0.196383997797966,0.00064636947546988,ok,,"[0.19551999866962433, 0.19599999487400055, 0.19606399536132812, 0.19625599682331085, 0.19631999731063843, 0.196383997797966, 0.1964160054922104, 0.19657599925994873, 0.19731199741363525, 0.19788800179958344]"
cal,2,16,1024,128,True,fp16,0.024831999093294144,0.000921022511348769,ok,,"[0.024064000695943832, 0.0244159996509552, 0.0244159996509552, 0.024512000381946564, 0.024671999737620354, 0.024831999093294144, 0.02489599958062172, 0.026240000501275063, 0.026464000344276428, 0.026496000587940216]"
cal,2,16,4096,128,False,fp16,0.2866879999637604,0.0014860892291909571,ok,,"[0.28358399868011475, 0.2847999930381775, 0.2858560085296631, 0.28595200181007385, 0.28620800375938416, 0.2866879999637604, 0.28678399324417114, 0.2868799865245819, 0.28857600688934326, 0.28863999247550964]"
cal,2,16,8192,128,True,fp8,0.3678719997406006,0.0011466552598767981,ok,,"[0.36588799953460693, 0.36611199378967285, 0.366239994764328, 0.36665600538253784, 0.36687999963760376, 0.3678719997406006, 0.3681600093841553, 0.36825600266456604, 0.3683840036392212, 0.3685759902000427]"
cal,2,16,8192,64,False,fp16,0.8184639811515808,0.0032255435908469794,ok,,"[0.8125119805335999, 0.8146560192108154, 0.8172159790992737, 0.8172159790992737, 0.81740802526474, 0.8184639811515808, 0.8188160061836243, 0.8210240006446838, 0.821183979511261, 0.8244479894638062]"
cal,2,16,1024,64,False,fp8,0.022304000332951546,0.0002486957504902121,ok,,"[0.021824000403285027, 0.02191999927163124, 0.02223999984562397, 0.022272000089287758, 0.022304000332951546, 0.022304000332951546, 0.02239999920129776, 0.022431999444961548, 0.022495999932289124, 0.02271999977529049]"
cal,2,16,4096,64,False,fp16,0.2460480034351349,0.0015142130087094042,ok,,"[0.2433599978685379, 0.24374400079250336, 0.2452159970998764, 0.2455040067434311, 0.24556800723075867, 0.2460480034351349, 0.24745599925518036, 0.24748800694942474, 0.24764800071716309, 0.24764800071716309]"
cal,2,16,1024,128,False,fp8,0.024351999163627625,0.0010195903075324647,ok,,"[0.022431999444961548, 0.0226879995316267, 0.022784000262618065, 0.024000000208616257, 0.024224000051617622, 0.024351999163627625, 0.02454400062561035, 0.02473600022494793, 0.024768000468611717, 0.02534399926662445]"
cal,2,16,8192,64,False,fp8,0.6489279866218567,0.0012657536731135665,ok,,"[0.6464959979057312, 0.6470400094985962, 0.6486080288887024, 0.6487680077552795, 0.6488959789276123, 0.6489279866218567, 0.6490240097045898, 0.6491199731826782, 0.6494719982147217, 0.6513919830322266]"
cal,2,16,1024,64,True,fp8,0.022431999444961548,0.0006362292279773849,ok,,"[0.021983999758958817, 0.022016000002622604, 0.022272000089287758, 0.022272000089287758, 0.022304000332951546, 0.022431999444961548, 0.022431999444961548, 0.0225600004196167, 0.022592000663280487, 0.024320000782608986]"
cal,2,16,4096,128,False,fp8,0.2069759964942932,0.001049972394081591,ok,,"[0.2062399983406067, 0.2064639925956726, 0.20656000077724457, 0.2067520022392273, 0.20691199600696564, 0.2069759964942932, 0.2070080041885376, 0.20828799903392792, 0.20892800390720367, 0.20908799767494202]"
val,2,16,8192,128,True,fp16,0.423552006483078,0.0007230161681037351,ok,,"[0.4219520092010498, 0.42204800248146057, 0.42320001125335693, 0.4232639968395233, 0.4232639968395233, 0.423552006483078, 0.4236159920692444, 0.42364799976348877, 0.42374399304389954, 0.4238080084323883]"
val,2,16,8192,128,False,fp8,0.6833599805831909,0.0013885118847570376,ok,,"[0.6802240014076233, 0.6816319823265076, 0.6818879842758179, 0.6821759939193726, 0.6823040246963501, 0.6833599805831909, 0.6833919882774353, 0.6838080286979675, 0.6841279864311218, 0.6843519806861877]"
val,2,16,1024,64,False,fp16,0.024671999737620354,0.0010171268322986648,ok,,"[0.024000000208616257, 0.024191999807953835, 0.024224000051617622, 0.024351999163627625, 0.024480000138282776, 0.024671999737620354, 0.02582399919629097, 0.026240000501275063, 0.026335999369621277, 0.026335999369621277]"
val,2,16,4096,128,True,fp16,0.1292800009250641,0.0006906363358787171,ok,,"[0.1287360042333603, 0.12876799702644348, 0.1289920061826706, 0.12918399274349213, 0.1292160004377365, 0.1292800009250641, 0.12937599420547485, 0.1302720010280609, 0.1303039938211441, 0.13072000443935394]"
val,2,16,1024,128,True,fp8,0.02396799996495247,0.0005561929030269272,ok,,"[0.022752000018954277, 0.02380800060927868, 0.023903999477624893, 0.02393599972128868, 0.02396799996495247, 0.02396799996495247, 0.02425600029528141, 0.02457600086927414, 0.02470399998128414, 0.02473600022494793]"
val,2,16,4096,128,True,fp8,0.11475200206041336,0.000770396464461249,ok,,"[0.11257600039243698, 0.11417599767446518, 0.11427199840545654, 0.114656001329422, 0.114656001329422, 0.11475200206041336, 0.11503999680280685, 0.11507199704647064, 0.11507199704647064, 0.11532799899578094]"
val,2,16,8192,64,True,fp16,0.38278400897979736,0.0012460706645037356,ok,,"[0.3813439905643463, 0.38182398676872253, 0.382207989692688, 0.3826240003108978, 0.3826560080051422, 0.38278400897979736, 0.38412800431251526, 0.3842560052871704, 0.38447999954223633, 0.3850879967212677]"
val,2,16,8192,128,False,fp16,0.9339519739151001,0.003026667143904234,ok,,"[0.9293760061264038, 0.9298239946365356, 0.9315840005874634, 0.9337599873542786, 0.933791995048523, 0.9339519739151001, 0.9351040124893188, 0.9373760223388672, 0.9377279877662659, 0.9384959936141968]"
